Amphitheatre,,2000
ODLT I,,300
ODLT II,,300
HSLT A,College of Health Sciences,98
HSLT B,,223
HSLT C,,485
El-Said ,Pharmacy,120
Marquis,,120
ETF/TEDFUND,Behind PG College,500
Chemical Engineering LT,Chemical Engineering Department,500
TCH I,,60
TCH II,,38
TCH III,,70
BOO A,Biological Sciences,100
BOO B,,150
BOO C,,450
Auditorium I,Faculty of Arts,272
Auditorium II,,272
Room 404 Humanity Block II,,85
Room 402 Humanity Block I,,85
Room 403 Humanity Block I,,120
Room 404 Humanity Block I,,100
EDB 313,Faculty of Education,80
EDB 315,,80
EDB 317,,180
SSLT I,Faculty of Social Sciences,140
SSLT II,,140
SSC 233,,
First Bank LT,Opposite Faculty of Social Science,500
LLT I (Moot Court),Faculty of Law,120
LLT II,,120
Room 201,,150
Room 202,,65
Room 203,,70
Room 204,,65
Room 205,,65
Room 206,,60
Room 208,,60
Room 209,,200
Room 232/233,Faculty of Administration,56
220/221,,83
Postgraduate Room,,30
ICAN LT,Faculty of Administration Extension,340
Room A,,160
Room B,,160
Room C,,160
Room D,,160
Lobby,Faculty of Arts Extension,65
AFST 210,,15
AFST 212/213,,50
1000 LT,Near Dept. of Architecture,1000
F5,Department of Geology,60
F13,,44
F17,,24
F36,,22
CH 102,Department of Chemistry,179
CH 220,,55
PY 102,Department of Physics,120
PY 130,,70
PY 238,,29
PY 239,,60
MBB 019,Department of Mathematics,24
MBB 020,,60
MBB 021,,60
MBB 022,,60
MBB 119,,40
MBB 116,,60
MBB 115,,60
MBB 114,,96
MBB 219,,60
MBB 218,,60
CEGLT I,Department of Civil Engr.,90
CEGLT II,,90
Seminar Room I,Department of Material Science,30
Seminar Room II,,39
Agric. Annex I,Dept. of Agric. Engineering,75
Agric. Annex II,,39
ALT A,Faculty of Agriculture,110
ALT B,,120
ALT C,,110
Ajose LT,,350
FNS I,Dept. of Food Science and Nutrition,45
FNS II,,45
PHE LR I,Dept of Physical and Health Educ.,48
PHE LR II,,24
Seminar Room I,Dept. of Local Government Studies,65
Seminar Room II,,48
LGS LT,,210
SCU Studio,,
FNT Studio,,
AGR Lab,,
HSN Lab,,
HSCMD L,,
BLD Lab,,
NCL,,
BCG 17,,
BCG 29,,
AFST 307,,
LDR Studio,,
PNT Studio,,
PRNT Room,,
PRN Studio,,
TXD Studio,,
CNE Studio,,
GRA Studio,,
HSC MRM,,
ZO. 122,,
PSC Lab,,
URP Studio,,
MIC 1.06,,
CHS MDL 2,,
GSCMDL,,
EVH.120,,
EVH SL,,
ARC Studio,,
ESM Studio,,
XER Studio,,
AGE DRG,,
CER Studio,,
HSS RM2,,
HSM DL2,,
